Filename,Genus,Species,Name of Training Set ,Data Type,Number of Specimens ,Man PC1,Man PC2,Man PC3,Man PC4,Man PC5,AI PC1,AI PC2,AI PC3,AI PC4,AI PC5
st050_bl1_fo4.tif,Menardella,exilis,T1_AI_2_Images,Original,2,0.011040386,-0.003534192,0.008039564,0.032192459,0.007755641,0.012221244,-0.002462334,0.005728033,0.031699021,0.006971843
st050_bl1_fo5.tif,Menardella,exilis,T1_AI_2_Images,Original,2,-0.004021441,-0.017921174,0.023258098,-0.008868807,-0.010246169,-0.002003134,-0.016996239,0.022875647,-0.008874525,-0.011328223
st051_bl1_fo1.tif,Menardella,pertenuis,T1_AI_2_Images,Original,2,-0.014418384,0.022453273,0.008670465,-0.019376923,0.017200496,-0.009404703,0.022095472,0.007115715,-0.019205268,0.018254028
st051_bl1_fo2.tif,Menardella,pertenuis,T1_AI_2_Images,Original,2,-0.030802578,0.018774223,-0.003497841,0.001135959,-0.014917867,-0.036449623,0.007276655,-0.000790085,0.001505021,-0.014007646
st051_bl1_fo3.tif,Menardella,pertenuis,T1_AI_2_Images,Original,2,-0.032194585,-0.010788008,-0.006069891,-0.015944423,-0.001362794,-0.033083875,-0.009617462,-0.004613803,-0.017371986,-0.00179683
st051_bl1_fo4.tif,Menardella,pertenuis,T1_AI_2_Images,Original,2,-0.03442146,0.012615284,-0.003590305,-0.003155061,0.006888539,-0.038248532,0.005692269,-0.001539439,-0.004089997,0.006216606
st051_bl1_fo5.tif,Menardella,pertenuis,T1_AI_2_Images,Original,2,-0.027604369,-0.018795899,-0.006316749,0.014954438,-0.002716053,-0.030756178,-0.024972431,-0.010153951,0.011802005,0.002596872
st061_bl1_fo2.tif,Menardella,pertenuis,T1_AI_2_Images,Original,2,0.024705656,0.019750549,-0.015479582,0.005299794,0.01955062,0.023175086,0.019606046,-0.016902427,0.005420692,0.01962214
st061_bl1_fo3.tif,Menardella,pertenuis,T1_AI_2_Images,Original,2,0.01631417,0.003404825,0.004092017,-0.019893118,0.006014749,0.016655362,0.003588702,0.003933684,-0.021535054,0.006507195
st061_bl1_fo5.tif,Menardella,pertenuis,T1_AI_2_Images,Original,2,0.004500628,-0.001620028,-0.004584568,0.035653294,0.020053791,-0.000106237,-0.002986605,-0.001160727,0.03621927,0.020815769
